Auracle,MioXL -  MAC STUDIO,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send Clock,Editor,Notes
,Din In (r),5,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),6,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,←,Prophet 10 Rev4 ,,,,,,,,
,Din In (f),7,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,←,Korg SQ-1,,,,x,,
,Din In (f),8,←,,,,,,,,,,,,,,,,,,,,←,Guest - Kiwi Patch Editor,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),1,↔,2 MIX W GUEST 1,,,,,,Desktop Keystones USB A 1,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,,,,,
,Usb Host (r),2,↔,,,,,,↔,Desk Tray Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↔,Prophet 10 Rev4,,,,,,,,
,Usb Host (r),3,↔,,,,,,,Bloka port 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),4,↔,,,,,,,Bloka port 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),5,↔,,,,,,,Bloka port 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),6,↔,,,,,,,Bloka port 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),7,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),8,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
